Grid.ID,Gear.Sampled2
gn123,BONGO
gp123,BONGO
gr123,BONGO
hf135,BONGO
hd135,BONGO
hb135,BONGO
gz135,BONGO
gx135,BONGO
gv143,"BONGO,CTD"
gx143,BONGO
gz143,"BONGO,CTD"
hb143,BONGO
hd143,"BONGO,CTD"
hf143,"BONGO,CTD"
hh143,"BONGO,CTD"
hj149,BONGO
hh149,BONGO
hf149,BONGO
hd149,BONGO
hb149,BONGO
gz149,BONGO
gx149,BONGO
gv149,BONGO
gv151,BONGO
gx151,BONGO
gz151,BONGO
hb151,BONGO
hd151,BONGO
hf151,BONGO
hh151,BONGO
hj151,BONGO
hj153,BONGO
hh153,BONGO
hf153,BONGO
hd153,BONGO
hb153,BONGO
gz153,BONGO
gx153,BONGO
gv153,BONGO
gv155,BONGO
gx155,BONGO
gz155,BONGO
hd155,BONGO
hf155,BONGO
hh155,BONGO
hj155,BONGO
hh157,BONGO
hf157,BONGO
hd157,BONGO
hb157,BONGO
gz157,BONGO
gx157,BONGO
gv159,"BONGO,CALVET"
gx159,BONGO
gz159,"BONGO,CALVET"
hb159,BONGO
hd159,"BONGO,CALVET"
hf159,BONGO
hf161,"BONGO,CTD"
hd161,"BONGO,CTD"
hb161,BONGO
gz161,"BONGO,CTD"
gx161,BONGO
gv161,"BONGO,CTD"
gv163,"BONGO,CALVET"
gx163,BONGO
gz163,"BONGO,CALVET"
hb163,BONGO
hd163,"BONGO,CALVET"
hf163,BONGO
hd165,BONGO
hb165,BONGO
gz165,BONGO
gx165,BONGO
gv165,BONGO
gv167,"BONGO,CALVET"
gx167,BONGO
gz167,"BONGO,CALVET"
hb167,BONGO
hd167,"BONGO,CALVET"
hd169,BONGO
hb169,BONGO
gz169,BONGO
gx169,BONGO
gv169,BONGO
gt169,BONGO
gv171,BONGO
gx171,BONGO
gz171,BONGO
hb171,BONGO
hd171,BONGO
hb173,BONGO
gz173,BONGO
gx173,BONGO
gv173,BONGO
gv175,BONGO
gx175,BONGO
gz175,BONGO
FOX56,"BONGO,CTD"
FOX57,"BONGO,CTD"
FOX58,"BONGO,CTD"
FOX59,"BONGO,CTD"
FOX60,"BONGO,CTD"
FOX61,"BONGO,CTD"
gx177,BONGO
gx179,BONGO
gx181,BONGO
gx183,BONGO
gx185,BONGO
gx187,BONGO
gx189,BONGO
gx191,BONGO
gx193,BONGO
gx195,BONGO
gx197,BONGO
gx199,BONGO
gz199,BONGO
gx201,BONGO
gz203,BONGO
hb201,BONGO
hd201,BONGO
hf201,BONGO
hh201,BONGO
hj201,BONGO
hl201,BONGO
hd197,BONGO
hf197,BONGO
hh197,BONGO
hj197,BONGO
hl197,BONGO
hn197,BONGO
hp197,BONGO
hp193,BONGO
hn193,BONGO
hl193,BONGO
hj193,BONGO
hh193,BONGO
Kodiak,BONGO
