Grid.ID,LAT,LON,Gear.Sampled,Stn_Order,Dist_NM,
gf105,54.2879,-164.2684,BONGO,1,NA,
gf107,54.4089,-164.0715,BONGO,2,10.03423338,838.6704672
gh107,54.2941,-163.8277,BONGO,3,10.9943097,
gh105,54.1731,-164.0241,BONGO,4,10.03526856,
gj105,54.0583,-163.7806,BONGO,5,11.02401399,
gj107,54.1793,-163.5848,BONGO,6,10.03378416,
gn123,54.9174,-161.5226,BONGO,7,84.6125393,
gp123,54.8026,-161.2865,BONGO,8,10.70684053,
gr123,54.6878,-161.0513,BONGO,9,10.70059478,
hf135,54.6022,-158.2681,BONGO,10,97.14804014,
hd135,54.7216,-158.4858,BONGO,11,10.44248796,
hb135,54.8396,-158.7012,BONGO,12,10.31063451,
gz135,54.9544,-158.9293,BONGO,13,10.49083651,
gx135,55.0692,-159.1581,BONGO,14,10.49219547,
gv143,55.6678,-158.5786,"BONGO,CTD",15,41.09074338,
gx143,55.553,-158.3513,BONGO,16,10.36579443,
gz143,55.4382,-158.1249,"BONGO,CTD",17,10.35963799,
hb143,55.3234,-157.8991,BONGO,18,10.36098403,
hd143,55.2087,-157.674,"BONGO,CTD",19,10.35564714,
hf143,55.0939,-157.4497,"BONGO,CTD",20,10.35562325,
hh143,54.9791,-157.226,"BONGO,CTD",21,10.35661053,
hj149,55.2272,-156.402,BONGO,22,32.07684477,
hh149,55.342,-156.6232,BONGO,23,10.25759155,
hf149,55.4567,-156.8452,BONGO,24,10.25767959,
hd149,55.5715,-157.0678,BONGO,25,10.26066245,
hb149,55.6863,-157.2911,BONGO,26,10.26200244,
gz149,55.8011,-157.515,BONGO,27,10.26070683,
gx149,55.9159,-157.7397,BONGO,28,10.26430461,
gv149,56.0307,-157.9651,BONGO,29,10.26526644,
gv151,56.1516,-157.7594,BONGO,30,10.03144833,
gx151,56.0368,-157.5346,BONGO,31,10.23291923,
gz151,55.9221,-157.3105,BONGO,32,10.22793222,
hb151,55.8073,-157.0871,BONGO,33,10.23092782,
hd151,55.6925,-156.8644,BONGO,34,10.2297506,
hf151,55.5777,-156.6424,BONGO,35,10.22844779,
hh151,55.4629,-156.4211,BONGO,36,10.22701961,
hj151,55.3481,-156.2004,BONGO,37,10.2279905,
hj153,55.4691,-155.9982,BONGO,38,10.03663605,
hh153,55.5839,-156.2183,BONGO,39,10.19598918,
hf153,55.6987,-156.439,BONGO,40,10.19499515,
hd153,55.8134,-156.6605,BONGO,41,10.19482183,
hb153,55.9282,-156.8826,BONGO,42,10.19766614,
gz153,56.043,-157.1053,BONGO,43,10.19632581,
gx153,56.1578,-157.3288,BONGO,44,10.19982207,
gv153,56.2726,-157.553,BONGO,45,10.20071169,
gv155,56.3935,-157.3459,BONGO,46,10.03397446,
gx155,56.2787,-157.1224,BONGO,47,10.16622085,
gz155,56.164,-156.8995,BONGO,48,10.16373183,
hb157,56.1701,-156.4715,BONGO,49,14.36146668,
gv159,56.6354,-156.9298,BONGO,50,31.87579415,
gz159,56.4059,-156.4859,BONGO,51,20.20031033,
hd159,56.1763,-156.0447,BONGO,52,20.20318482,
hd161,56.2973,-155.8382,BONGO,53,10.0363942,
gz161,56.5268,-156.2781,BONGO,54,20.13366957,
hb163,56.533,-155.85,BONGO,55,14.22933538,
hd163,56.4182,-155.631,BONGO,56,10.03710242,
