FOCI_GRID,Neuston,LAT,LON2,LON
gt145,"NEU, 60bon",55.9035,158.6021,-158.6021
gv145,"NEU, 60/20bon",55.7888,158.3747,-158.3747
gx145,"NEU, 60bon",55.674,158.1481,-158.1481
gz145,"NEU, 60/20bon",55.5592,157.9222,-157.9222
hb145,"NEU, 60bon",55.4444,157.6971,-157.6971
hd145,"NEU, 60/20bon",55.3296,157.4726,-157.4726
hf145,"NEU, 60bon",55.2148,157.2488,-157.2488
hh145,"NEU, 60/20bon",55.1,157.0257,-157.0257
hj145,"NEU, 60bon",54.9853,156.8033,-156.8033
hj147,"NEU, 60/20bon",55.1062,156.603,-156.603
hh147,"NEU, 60bon",55.221,156.8248,-156.8248
hf147,"NEU, 60/20bon",55.3358,157.0473,-157.0473
hd147,"NEU, 60bon",55.4506,157.2705,-157.2705
hb147,"NEU, 60/20bon",55.5654,157.4944,-157.4944
gz147,"NEU, 60bon",55.6801,157.7189,-157.7189
gx147,"NEU, 60/20bon",55.7949,157.9442,-157.9442
gv147,"NEU, 60bon",55.9097,158.1702,-158.1702
gv149,"NEU, 60/20bon",56.0307,157.9651,-157.9651
gx149,"NEU, 60bon",55.9159,157.7397,-157.7397
gz149,"NEU, 60/20bon",55.8011,157.515,-157.515
hb149,"NEU, 60bon",55.6863,157.2911,-157.2911
hd149,"NEU, 60/20bon",55.5715,157.0678,-157.0678
hf149,"NEU, 60bon",55.4567,156.8452,-156.8452
hh149,"NEU, 60/20bon",55.342,156.6232,-156.6232
hj149,"NEU, 60bon",55.2272,156.402,-156.402
hj151,"NEU, 60/20bon",55.3481,156.2004,-156.2004
hh151,"NEU, 60bon",55.4629,156.4211,-156.4211
hf151,"NEU, 60/20bon",55.5777,156.6424,-156.6424
hd151,"NEU, 60bon",55.6925,156.8644,-156.8644
hb151,"NEU, 60/20bon",55.8073,157.0871,-157.0871
gz151,"NEU, 60bon",55.9221,157.3105,-157.3105
gx151,"NEU, 60/20bon",56.0368,157.5346,-157.5346
gv151,"NEU, 60bon",56.1516,157.7594,-157.7594
gv153,"NEU, 60/20bon",56.2726,157.553,-157.553
gx153,"NEU, 60bon, CTD",56.1578,157.3288,-157.3288
gz153,"NEU, 60/20bon",56.043,157.1053,-157.1053
hb153,"NEU, 60bon",55.9282,156.8826,-156.8826
hd153,"NEU, 60/20bon",55.8134,156.6605,-156.6605
hf153,"NEU, 60bon",55.6987,156.439,-156.439
hh153,"NEU, 60/20bon",55.5839,156.2183,-156.2183
hj153,"NEU, 60bon",55.4691,155.9982,-155.9982
hj211,"NEU, 60bon",58.9768,149.8439,-149.8439
hl211,"NEU, 60/20bon",58.862,149.6436,-149.6436
hl209,"NEU, 60bon",58.7411,149.8652,-149.8652
hj209,"NEU, 60/20bon",58.857,150.064,-150.064
hh209,"NEU, 60bon",58.9707,150.2677,-150.2677
hf209,"NEU, 60/20bon",59.0854,150.4699,-150.4699
hf207,"NEU, 60bon",58.9645,150.6929,-150.6929
hh207,"NEU, 60/20bon",58.8497,150.49,-150.49
hj207,"NEU, 60bon",58.7349,150.2878,-150.2878
hl207,"NEU, 60/20bon",58.6201,150.086,-150.086
hl205,"NEU, 60bon",58.4992,150.3061,-150.3061
hj205,"NEU, 60/20bon",58.614,150.5086,-150.5086
hh205,"NEU, 60bon",58.7287,150.7115,-150.7115
hf205,"NEU, 60/20bon",58.8435,150.9151,-150.9151
hd205,"NEU, 60bon",58.9583,151.1192,-151.1192
hb203,"NEU, 60/20bon",58.9521,151.5468,-151.5468
hd203,"NEU, 60bon",58.8374,151.3414,-151.3414
hf203,"NEU, 60/20bon",58.7226,151.1366,-151.1366
hh203,"NEU, 60bon",58.6078,150.9323,-150.9323
hj203,"NEU, 60/20bon",58.493,150.7286,-150.7286
hl203,"NEU, 60bon",58.3782,150.5254,-150.5254
hl201,"NEU, 60/20bon",58.2573,150.7439,-150.7439
hj201,"NEU, 60bon",58.372,150.9479,-150.9479
hh201,"NEU, 60/20bon",58.4868,151.1523,-151.1523
hf201,"NEU, 60bon",58.6016,151.3573,-151.3573
hd201,"NEU, 60/20bon",58.7164,151.5629,-151.5629
hb201,"NEU, 60bon",58.8312,151.7689,-151.7689
hp185,"NEU, 60bon",57.0608,152.0371,-152.0371
hn185,"NEU, 60/20bon",57.1748,152.2573,-152.2573
hl185,"NEU, 60bon",57.2896,152.466,-152.466
hl183,"NEU, 60/20bon",57.1686,152.6781,-152.6781
hn183,"NEU, 60bon",57.0539,152.4687,-152.4687
hp183,"NEU, 60/20bon",56.9386,152.25,-152.25
hp181,"NEU, 60bon",56.8161,152.4629,-152.4629
hn181,"NEU, 60/20bon",56.9329,152.6794,-152.6794
hl181,"NEU, 60bon",57.0477,152.8895,-152.8895
hl179,"NEU, 60/20bon",56.9267,153.1002,-153.1002
hn179,"NEU, 60bon",56.812,152.8894,-152.8894
hp179,"NEU, 60/20bon",56.6931,152.6757,-152.6757
hp177,"NEU, 60bon",56.5728,152.8833,-152.8833
hn177,"NEU, 60/20bon",56.691,153.0988,-153.0988
hl177,"NEU, 60bon",56.8058,153.3102,-153.3102
hl175,"NEU, 60/20bon",56.6848,153.5195,-153.5195
hn175,"NEU, 60bon",56.57,153.3075,-153.3075
hp175,"NEU, 60/20bon",56.4501,153.0944,-153.0944
hp173,"NEU, 60bon",56.332,153.2968,-153.2968
hn173,"NEU, 60/20bon",56.4491,153.5155,-153.5155
hl173,"NEU, 60bon",56.5639,153.7281,-153.7281
