Code,Species,Common Name,Code2,Common_Name2
160,Stenobrachius leucopsarus,Northern lampfish,X1606,Northern lampfish
166,Gadus macrocephalus,Pacific cod,X1666,Pacific cod
168,Gadus chalcogrammus,Walleye pollock,X1686,Walleye pollock
171,Sebastes spp.,Unidentified rockfish,X1716,Rockfish
219,Bathymaster spp.,Unidentified ronquils,X2196,Ronquils
233,Ammodytes personatus,Pacific sand lance,X2336,Pacific sand lance
236,Atheresthes stomias,Arrowtooth flounder,X2366,Arrowtooth flounder
238,Hippoglossoides elassodon,Flathead sole,X2386,Flathead sole
245,Platichthys stellatus,Starry flounder,X2456,Starry flounder
248,Hippoglossus stenolepis,Pacific halibut,X2486,Pacific halibut
501,Lepidopsetta bilineata,Southern rock sole,X5016,Southern rock sole
502,Lepidopsetta polyxystra,Northern rock sole,X5026,Northern rock sole
