ByLineA,ByLineB,CheckerA,CheckerB,CheckerB2
48,55,44,45,45
47,54,46,47,63
46,53,49,50,50
45,52,64,63,47
44,51,65,80,52
64,50,62,66,61
63,49,51,61,66
62,65,48,52,80
61,66,53,54,96
60,67,60,59,82
59,68,67,68,78
58,69,79,78,68
57,70,81,82,59
56,71,97,96,54
73,72,95,98,57
74,88,83,94,70
75,87,77,84,76
76,86,69,76,84
77,85,58,70,94
78,84,55,57,98
79,83,56,72,122
80,82,71,74,112
96,81,75,86,109
95,97,85,92,92
94,98,93,109,86
93,99,99,112,74
92,100,110,122,72
91,101,111,134,88
90,102,123,124,90
89,103,121,120,101
104,116,113,114,107
105,115,108,107,114
106,114,100,101,120
107,113,91,90,124
108,112,87,88,134
109,111,73,103,144
110,123,89,105,136
122,124,104,116,132
121,125,102,118,126
120,126,106,126,118
119,127,115,132,116
118,128,119,136,105
117,139,125,144,103
129,138,133,154,128
130,137,135,147,130
131,136,145,142,138
132,135,146,138,142
133,146,143,130,147
134,147,137,128,154
145,148,131,140,156
144,149,127,149,152
143,150,117,152,149
142,157,129,156,140
141,156,139,158,158
140,155,141,159,159
151,163,148,160,160
152,162,153,161,161
153,161,155,162,162
154,160,157,163,163
158,159,158,164,164
159,158,159,165,165
160,164,160,166,166
161,165,161,167,167
162,166,162,,
163,167,163,,
164,,164,,
165,,165,,
166,,166,,
167,,167,,
